season,matchday,home team,away team,home attendance,away attendance,total attendance,winning team
2016-2017,31,bnei yehuda tel aviv,ironi kiryat shmona,0,0,0,A
2016-2017,31,ashdod fc,hapoel tel aviv,0,0,0,H
2016-2017,31,hapoel kfar sava,hapoel ashqelon,0,0,0,H
2016-2017,31,maccabi petah tikva,maccabi haifa,0,0,0,A
2016-2017,31,beitar jerusalem,maccabi tel aviv,0,0,0,D
2016-2017,31,bnei sakhnin,hapoel beer sheva,0,0,0,A
2016-2017,32,hapoel haifa,bnei yehuda tel aviv,0,0,0,D
2016-2017,32,bnei sakhnin,maccabi tel aviv,0,0,0,A
2016-2017,32,hapoel tel aviv,hapoel ashqelon,0,0,0,D
2016-2017,32,ashdod fc,hapoel raanana,0,0,0,D
2016-2017,32,maccabi haifa,hapoel beer sheva,0,0,0,A
2016-2017,32,beitar jerusalem,maccabi petah tikva,0,0,0,H
2016-2017,32,ironi kiryat shmona,hapoel kfar sava,0,0,0,A
2016-2017,33,hapoel kfar sava,hapoel haifa,0,0,0,H
2016-2017,33,hapoel ashqelon,ironi kiryat shmona,0,0,0,H
2016-2017,33,maccabi petah tikva,bnei sakhnin,0,0,0,H
2016-2017,33,hapoel raanana,hapoel tel aviv,0,0,0,D
2016-2017,33,bnei yehuda tel aviv,ashdod fc,0,0,0,H
2016-2017,33,maccabi tel aviv,hapoel beer sheva,0,0,0,A
2016-2017,33,beitar jerusalem,maccabi haifa,0,0,0,H
2016-2017,34,bnei sakhnin,beitar jerusalem,0,0,0,A
2016-2017,34,hapoel beer sheva,maccabi petah tikva,0,0,0,D
2016-2017,34,maccabi haifa,maccabi tel aviv,0,0,0,A
2016-2017,35,beitar jerusalem,hapoel beer sheva,0,0,0,D
2016-2017,35,maccabi petah tikva,maccabi tel aviv,0,0,0,H
2016-2017,35,bnei sakhnin,maccabi haifa,0,0,0,H
2016-2017,36,hapoel beer sheva,bnei sakhnin,0,0,0,H
2016-2017,36,maccabi tel aviv,beitar jerusalem,0,0,0,A
2016-2017,36,maccabi haifa,maccabi petah tikva,0,0,0,D
2017-2018,1,ashdod fc,maccabi petah tikva,750,200,950,A
2017-2018,1,hapoel raanana,ironi kiryat shmona,570,20,590,D
2017-2018,1,hapoel haifa,hapoel ashqelon,2360,140,2500,H
2017-2018,1,hapoel beer sheva,maccabi netanya,13563,1223,14786,D
2017-2018,1,hapoel acre,bnei sakhnin,450,350,800,A
2017-2018,1,maccabi tel aviv,beitar jerusalem,10201,1124,11325,A
2017-2018,1,bnei yehuda tel aviv,maccabi haifa,2000,5500,7500,H
2017-2018,2,bnei sakhnin,hapoel raanana,620,30,650,H
2017-2018,2,hapoel ashqelon,bnei yehuda tel aviv,1397,798,2195,D
2017-2018,2,maccabi petah tikva,hapoel haifa,2050,620,2670,A
2017-2018,2,maccabi netanya,hapoel acre,4294,79,4373,D
2017-2018,2,ironi kiryat shmona,maccabi tel aviv,250,1800,2050,A
2017-2018,2,maccabi haifa,hapoel beer sheva,25180,2000,27180,H
2017-2018,2,beitar jerusalem,ashdod fc,8760,240,9000,H
2017-2018,3,hapoel haifa,bnei yehuda tel aviv,0,0,0,H
2017-2018,3,ashdod fc,ironi kiryat shmona,0,0,0,A
2017-2018,3,maccabi tel aviv,bnei sakhnin,0,0,0,H
2017-2018,3,hapoel beer sheva,hapoel ashqelon,0,0,0,H
2017-2018,3,hapoel acre,maccabi haifa,0,0,0,H
2017-2018,3,maccabi petah tikva,beitar jerusalem,0,0,0,A
2017-2018,3,hapoel raanana,maccabi netanya,0,0,0,A
2017-2018,4,beitar jerusalem,hapoel haifa,0,0,0,D
2017-2018,4,hapoel ashqelon,hapoel acre,0,0,0,H
2017-2018,4,maccabi netanya,maccabi tel aviv,0,0,0,A
2017-2018,4,ironi kiryat shmona,maccabi petah tikva,0,0,0,H
2017-2018,4,maccabi haifa,hapoel raanana,0,0,0,H
2017-2018,4,bnei yehuda tel aviv,hapoel beer sheva,0,0,0,A
2017-2018,4,bnei sakhnin,ashdod fc,0,0,0,D
2017-2018,5,hapoel haifa,hapoel beer sheva,0,0,0,D
2017-2018,5,ashdod fc,maccabi netanya,0,0,0,A
2017-2018,5,maccabi tel aviv,maccabi haifa,0,0,0,D
2017-2018,5,hapoel raanana,hapoel ashqelon,0,0,0,A
2017-2018,5,hapoel acre,bnei yehuda tel aviv,0,0,0,D
2017-2018,5,beitar jerusalem,ironi kiryat shmona,0,0,0,D
2017-2018,5,maccabi petah tikva,bnei sakhnin,0,0,0,H
2017-2018,6,ironi kiryat shmona,hapoel haifa,0,0,0,A
2017-2018,6,maccabi haifa,ashdod fc,0,0,0,H
2017-2018,6,hapoel ashqelon,maccabi tel aviv,0,0,0,D
2017-2018,6,bnei sakhnin,beitar jerusalem,0,0,0,H
2017-2018,6,maccabi netanya,maccabi petah tikva,0,0,0,H
2017-2018,6,bnei yehuda tel aviv,hapoel raanana,0,0,0,H
2017-2018,6,hapoel beer sheva,hapoel acre,0,0,0,H
2017-2018,7,maccabi petah tikva,maccabi haifa,1500,5500,7000,D
2017-2018,7,hapoel haifa,hapoel acre,4281,159,4440,H
2017-2018,7,ashdod fc,hapoel ashqelon,870,830,1700,D
2017-2018,7,hapoel raanana,hapoel beer sheva,526,2350,2876,A
2017-2018,7,ironi kiryat shmona,bnei sakhnin,850,270,1120,D
2017-2018,7,maccabi tel aviv,bnei yehuda tel aviv,8536,300,8836,H
2017-2018,7,beitar jerusalem,maccabi netanya,10467,2528,12995,H
2017-2018,8,bnei yehuda tel aviv,ashdod fc,1530,70,1600,A
